label,message
ham,"Hey, are we meeting today?"
spam,Congratulations! You won a free lottery ticket. Claim now!
ham,Can you send me the assignment?
spam,URGENT! You have won $1000. Click now to claim your prize!
ham,Your appointment is confirmed for tomorrow.
spam,WINNER! You have been selected for a cash reward. Call now!
ham,Please call me when you are free.
spam,Claim your FREE prize now by clicking this link!
ham,Don't forget to bring your laptop.
spam,You have won a brand new mobile phone. Claim immediately!
ham,Your order has been shipped and will arrive tomorrow.
spam,Congratulations! You are eligible for a special cash bonus!
ham,Can you share the notes with me?
spam,URGENT: Your account has won a reward. Verify now!
ham,I will reach college by 9 AM.
spam,FREE entry in a lucky draw! Reply WIN to receive your reward!
ham,Let's meet at the library after class.
spam,You have been chosen as our lucky winner. Claim your prize today!
ham,Please submit the project before Friday.
spam,Get a guaranteed cash reward now! Limited time offer!
